source_key,source_name,source_type,source_url,problem_id,slug,title,difficulty,acceptance,problem_url,imported_at
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,1,two-sum,Two Sum,Easy,57.5%,https://leetcode.com/problems/two-sum/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,49,group-anagrams,Group Anagrams,Medium,72.6%,https://leetcode.com/problems/group-anagrams/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,3,longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.0%,https://leetcode.com/problems/longest-substring-without-repeating-characters/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,76,minimum-window-substring,Minimum Window Substring,Hard,47.5%,https://leetcode.com/problems/minimum-window-substring/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,560,subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.3%,https://leetcode.com/problems/subarray-sum-equals-k/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,238,product-of-array-except-self,Product of Array Except Self,Medium,68.9%,https://leetcode.com/problems/product-of-array-except-self/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,53,maximum-subarray,Maximum Subarray,Medium,53.3%,https://leetcode.com/problems/maximum-subarray/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,121,best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,15,3sum,3Sum,Medium,39.1%,https://leetcode.com/problems/3sum/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,11,container-with-most-water,Container With Most Water,Medium,60.0%,https://leetcode.com/problems/container-with-most-water/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,33,search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.5%,https://leetcode.com/problems/search-in-rotated-sorted-array/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,56,merge-intervals,Merge Intervals,Medium,51.8%,https://leetcode.com/problems/merge-intervals/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,57,insert-interval,Insert Interval,Medium,45.2%,https://leetcode.com/problems/insert-interval/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,239,sliding-window-maximum,Sliding Window Maximum,Hard,,https://leetcode.com/problems/sliding-window-maximum/,2026-05-19
classic-3-topics-array-string,Classic 3 Topics: Array / String,local-curated,local:classic-3-topics/array-string,68,text-justification,Text Justification,Hard,51.1%,https://leetcode.com/problems/text-justification/,2026-05-19
